,Date,Close
999,2019-02-15,3602.47
998,2019-02-16,3618.41
997,2019-02-17,3667.58
996,2019-02-18,3898.6
995,2019-02-19,3907.79
994,2019-02-20,3969.74
993,2019-02-21,3937.31
992,2019-02-22,3962.0
991,2019-02-23,4117.76
990,2019-02-24,3743.56
989,2019-02-25,3827.92
988,2019-02-26,3809.23
987,2019-02-27,3818.07
986,2019-02-28,3813.69
985,2019-03-01,3823.0
984,2019-03-02,3819.93
983,2019-03-03,3807.75
982,2019-03-04,3715.3
981,2019-03-05,3857.73
980,2019-03-06,3861.84
979,2019-03-07,3873.64
978,2019-03-08,3864.89
977,2019-03-09,3943.04
976,2019-03-10,3916.82
975,2019-03-11,3871.61
974,2019-03-12,3882.73
973,2019-03-13,3866.0
972,2019-03-14,3877.12
971,2019-03-15,3923.76
970,2019-03-16,4005.98
969,2019-03-17,3981.14
968,2019-03-18,3987.81
967,2019-03-19,4015.53
966,2019-03-20,4043.04
965,2019-03-21,3980.64
964,2019-03-22,3986.93
963,2019-03-23,4006.01
962,2019-03-24,3992.18
961,2019-03-25,3936.12
960,2019-03-26,3948.55
959,2019-03-27,4038.05
958,2019-03-28,4027.81
957,2019-03-29,4103.25
956,2019-03-30,4106.97
955,2019-03-31,4103.95
954,2019-04-01,4144.56
953,2019-04-02,4857.29
952,2019-04-03,4932.6
951,2019-04-04,4898.66
950,2019-04-05,5004.95
949,2019-04-06,5043.89
948,2019-04-07,5170.27
947,2019-04-08,5236.9
946,2019-04-09,5150.0
945,2019-04-10,5308.25
944,2019-04-11,5017.37
943,2019-04-12,5048.01
942,2019-04-13,5045.22
941,2019-04-14,5131.3
940,2019-04-15,5024.95
939,2019-04-16,5173.72
938,2019-04-17,5202.82
937,2019-04-18,5258.44
936,2019-04-19,5258.68
935,2019-04-20,5291.73
934,2019-04-21,5256.14
933,2019-04-22,5357.14
932,2019-04-23,5493.31
931,2019-04-24,5415.0
930,2019-04-25,5219.9
929,2019-04-26,5314.1
928,2019-04-27,5295.69
927,2019-04-28,5307.52
926,2019-04-29,5238.14
925,2019-04-30,5320.81
924,2019-05-01,5383.2
923,2019-05-02,5492.87
922,2019-05-03,5772.69
921,2019-05-04,5829.45
920,2019-05-05,5775.62
919,2019-05-06,5747.79
918,2019-05-07,5846.34
917,2019-05-08,5987.29
916,2019-05-09,6209.18
915,2019-05-10,6373.33
914,2019-05-11,7076.22
913,2019-05-12,6967.31
912,2019-05-13,7790.71
911,2019-05-14,7947.56
910,2019-05-15,8169.87
909,2019-05-16,7866.59
908,2019-05-17,7355.26
907,2019-05-18,7257.45
906,2019-05-19,8148.48
905,2019-05-20,7938.15
904,2019-05-21,7904.87
903,2019-05-22,7628.43
902,2019-05-23,7851.51
901,2019-05-24,7964.87
900,2019-05-25,8025.41
899,2019-05-26,8614.43
898,2019-05-27,8756.32
897,2019-05-28,8715.64
896,2019-05-29,8645.68
895,2019-05-30,8269.54
894,2019-05-31,8555.0
893,2019-06-01,8544.07
892,2019-06-02,8725.98
891,2019-06-03,8115.82
890,2019-06-04,7687.03
889,2019-06-05,7776.5
888,2019-06-06,7786.7
887,2019-06-07,7980.53
886,2019-06-08,7893.62
885,2019-06-09,7628.13
884,2019-06-10,7982.75
883,2019-06-11,7884.9
882,2019-06-12,8127.64
881,2019-06-13,8218.54
880,2019-06-14,8650.0
879,2019-06-15,8808.7
878,2019-06-16,8953.33
877,2019-06-17,9313.96
876,2019-06-18,9081.55
875,2019-06-19,9255.49
874,2019-06-20,9517.12
873,2019-06-21,10159.86
872,2019-06-22,10729.5
871,2019-06-23,10906.07
870,2019-06-24,11056.59
869,2019-06-25,11820.86
868,2019-06-26,13093.8
867,2019-06-27,11329.99
866,2019-06-28,12400.63
865,2019-06-29,11903.13
864,2019-06-30,10854.1
863,2019-07-01,10624.93
862,2019-07-02,10842.85
861,2019-07-03,11940.0
860,2019-07-04,11145.67
859,2019-07-05,10970.73
858,2019-07-06,11256.49
857,2019-07-07,11406.24
856,2019-07-08,12238.6
855,2019-07-09,12543.41
854,2019-07-10,12108.37
853,2019-07-11,11342.89
852,2019-07-12,11757.22
851,2019-07-13,11355.76
850,2019-07-14,10174.18
849,2019-07-15,10838.72
848,2019-07-16,9439.59
847,2019-07-17,9667.92
846,2019-07-18,10627.16
845,2019-07-19,10504.29
844,2019-07-20,10740.23
843,2019-07-21,10589.45
842,2019-07-22,10340.31
841,2019-07-23,9864.91
840,2019-07-24,9763.28
839,2019-07-25,9879.87
838,2019-07-26,9824.0
837,2019-07-27,9476.52
836,2019-07-28,9541.54
835,2019-07-29,9507.64
834,2019-07-30,9574.21
833,2019-07-31,10080.53
832,2019-08-01,10374.99
831,2019-08-02,10523.75
830,2019-08-03,10816.86
829,2019-08-04,10929.23
828,2019-08-05,11828.8
827,2019-08-06,11481.69
826,2019-08-07,11975.03
825,2019-08-08,11999.77
824,2019-08-09,11879.99
823,2019-08-10,11309.31
822,2019-08-11,11549.97
821,2019-08-12,11396.08
820,2019-08-13,10892.71
819,2019-08-14,10050.37
818,2019-08-15,10293.93
817,2019-08-16,10331.54
816,2019-08-17,10216.02
815,2019-08-18,10306.78
814,2019-08-19,10915.54
813,2019-08-20,10760.51
812,2019-08-21,10142.57
811,2019-08-22,10099.88
810,2019-08-23,10389.55
809,2019-08-24,10134.35
808,2019-08-25,10142.69
807,2019-08-26,10372.25
806,2019-08-27,10185.05
805,2019-08-28,9721.0
804,2019-08-29,9498.44
803,2019-08-30,9584.54
802,2019-08-31,9587.47
801,2019-09-01,9724.98
800,2019-09-02,10340.0
799,2019-09-03,10615.28
798,2019-09-04,10567.02
797,2019-09-05,10564.49
796,2019-09-06,10298.73
