,Date,Close
999,2019-02-15,121.67
998,2019-02-16,122.67
997,2019-02-17,133.75
996,2019-02-18,145.69
995,2019-02-19,143.44
994,2019-02-20,148.44
993,2019-02-21,145.69
992,2019-02-22,147.36
991,2019-02-23,157.79
990,2019-02-24,132.1
989,2019-02-25,137.87
988,2019-02-26,136.22
987,2019-02-27,135.02
986,2019-02-28,135.34
985,2019-03-01,135.32
984,2019-03-02,132.56
983,2019-03-03,130.6
982,2019-03-04,125.65
981,2019-03-05,136.72
980,2019-03-06,137.4
979,2019-03-07,136.81
978,2019-03-08,133.52
977,2019-03-09,137.27
976,2019-03-10,135.37
975,2019-03-11,132.67
974,2019-03-12,133.57
973,2019-03-13,131.65
972,2019-03-14,132.2
971,2019-03-15,136.56
970,2019-03-16,140.92
969,2019-03-17,138.67
968,2019-03-18,137.59
967,2019-03-19,138.55
966,2019-03-20,139.01
965,2019-03-21,134.85
964,2019-03-22,135.98
963,2019-03-23,137.28
962,2019-03-24,136.09
961,2019-03-25,133.98
960,2019-03-26,134.18
959,2019-03-27,139.45
958,2019-03-28,137.86
957,2019-03-29,143.25
956,2019-03-30,142.46
955,2019-03-31,141.38
954,2019-04-01,141.24
953,2019-04-02,163.31
952,2019-04-03,159.96
951,2019-04-04,157.36
950,2019-04-05,164.77
949,2019-04-06,165.5
948,2019-04-07,174.21
947,2019-04-08,178.72
946,2019-04-09,174.6
945,2019-04-10,177.12
944,2019-04-11,164.07
943,2019-04-12,163.19
942,2019-04-13,162.99
941,2019-04-14,167.23
940,2019-04-15,159.95
939,2019-04-16,165.37
938,2019-04-17,165.75
937,2019-04-18,173.33
936,2019-04-19,172.64
935,2019-04-20,172.88
934,2019-04-21,168.59
933,2019-04-22,170.52
932,2019-04-23,169.16
931,2019-04-24,164.78
930,2019-04-25,154.72
929,2019-04-26,157.95
928,2019-04-27,159.31
927,2019-04-28,157.85
926,2019-04-29,155.11
925,2019-04-30,161.83
924,2019-05-01,160.19
923,2019-05-02,161.81
922,2019-05-03,168.06
921,2019-05-04,163.7
920,2019-05-05,163.05
919,2019-05-06,173.0
918,2019-05-07,169.18
917,2019-05-08,170.85
916,2019-05-09,170.9
915,2019-05-10,172.91
914,2019-05-11,190.2
913,2019-05-12,188.11
912,2019-05-13,195.84
911,2019-05-14,216.4
910,2019-05-15,248.1
909,2019-05-16,264.25
908,2019-05-17,244.3
907,2019-05-18,233.6
906,2019-05-19,259.51
905,2019-05-20,250.37
904,2019-05-21,253.43
903,2019-05-22,243.64
902,2019-05-23,244.56
901,2019-05-24,248.87
900,2019-05-25,250.22
899,2019-05-26,264.45
898,2019-05-27,270.53
897,2019-05-28,271.03
896,2019-05-29,268.83
895,2019-05-30,254.56
894,2019-05-31,267.9
893,2019-06-01,264.33
892,2019-06-02,268.88
891,2019-06-03,249.91
890,2019-06-04,241.39
889,2019-06-05,245.63
888,2019-06-06,248.76
887,2019-06-07,248.77
886,2019-06-08,243.25
885,2019-06-09,230.98
884,2019-06-10,246.51
883,2019-06-11,244.29
882,2019-06-12,261.15
881,2019-06-13,254.67
880,2019-06-14,262.47
879,2019-06-15,267.82
878,2019-06-16,267.73
877,2019-06-17,273.16
876,2019-06-18,264.66
875,2019-06-19,268.14
874,2019-06-20,271.22
873,2019-06-21,294.35
872,2019-06-22,310.79
871,2019-06-23,308.52
870,2019-06-24,311.64
869,2019-06-25,318.26
868,2019-06-26,339.39
867,2019-06-27,298.35
866,2019-06-28,311.05
865,2019-06-29,317.62
864,2019-06-30,292.7
863,2019-07-01,295.07
862,2019-07-02,291.48
861,2019-07-03,301.14
860,2019-07-04,282.73
859,2019-07-05,287.47
858,2019-07-06,288.29
857,2019-07-07,304.72
856,2019-07-08,311.97
855,2019-07-09,307.46
854,2019-07-10,289.23
853,2019-07-11,268.63
852,2019-07-12,274.62
851,2019-07-13,268.79
850,2019-07-14,225.85
849,2019-07-15,228.2
848,2019-07-16,198.88
847,2019-07-17,210.81
846,2019-07-18,225.73
845,2019-07-19,220.73
844,2019-07-20,228.2
843,2019-07-21,225.38
842,2019-07-22,217.51
841,2019-07-23,212.48
840,2019-07-24,216.31
839,2019-07-25,219.14
838,2019-07-26,218.81
837,2019-07-27,207.3
836,2019-07-28,211.62
835,2019-07-29,210.89
834,2019-07-30,209.58
833,2019-07-31,218.42
832,2019-08-01,216.84
831,2019-08-02,217.61
830,2019-08-03,222.14
829,2019-08-04,221.79
828,2019-08-05,233.54
827,2019-08-06,226.28
826,2019-08-07,226.1
825,2019-08-08,221.39
824,2019-08-09,210.53
823,2019-08-10,206.48
822,2019-08-11,216.42
821,2019-08-12,211.41
820,2019-08-13,209.3
819,2019-08-14,187.1
818,2019-08-15,188.03
817,2019-08-16,184.88
816,2019-08-17,185.59
815,2019-08-18,194.33
814,2019-08-19,202.28
813,2019-08-20,196.6
812,2019-08-21,187.45
811,2019-08-22,190.35
810,2019-08-23,194.02
809,2019-08-24,190.6
808,2019-08-25,186.54
807,2019-08-26,188.67
806,2019-08-27,187.24
805,2019-08-28,173.03
804,2019-08-29,169.01
803,2019-08-30,168.5
802,2019-08-31,171.57
801,2019-09-01,170.74
800,2019-09-02,178.05
799,2019-09-03,178.75
798,2019-09-04,174.72
797,2019-09-05,173.75
796,2019-09-06,169.08
795,2019-09-07,177.62
794,2019-09-08,181.19
793,2019-09-09,180.54
792,2019-09-10,179.81
791,2019-09-11,178.28
790,2019-09-12,180.72
789,2019-09-13,180.95
788,2019-09-14,188.13
787,2019-09-15,189.03
786,2019-09-16,197.22
785,2019-09-17,207.84
784,2019-09-18,210.21
783,2019-09-19,220.24
782,2019-09-20,218.03
781,2019-09-21,215.05
780,2019-09-22,211.2
779,2019-09-23,201.29
778,2019-09-24,165.81
777,2019-09-25,169.96
776,2019-09-26,165.92
775,2019-09-27,173.79
774,2019-09-28,173.49
773,2019-09-29,169.24
